Date,Rainfall,Max_Temperature,Min_Temperature
1993-01-01,31.0,32.7,20.0
1993-02-01,67.0,34.0,20.5
1993-03-01,115.5,34.2,21.4
1993-04-01,61.9,35.2,23.4
1993-05-01,185.6,33.3,23.6
1993-06-01,85.3,32.9,23.7
1993-07-01,37.7,32.7,23.9
1993-08-01,0.0,34.9,23.6
1993-09-01,22.5,35.6,23.2
1993-10-01,207.1,33.0,22.9
1993-11-01,222.4,32.1,22.4
1993-12-01,329.8,31.7,22.2
1994-01-01,208.6,31.6,21.3
1994-02-01,117.9,31.9,21.1
1994-03-01,53.0,34.0,21.6
1994-04-01,231.2,33.8,22.9
1994-05-01,87.2,33.8,23.7
1994-06-01,17.3,34.0,24.4
1994-07-01,43.3,34.0,23.9
1994-08-01,39.6,34.1,22.9
1994-09-01,113.9,33.4,22.6
1994-10-01,522.2,31.8,21.8
1994-11-01,221.7,31.6,22.2
1994-12-01,87.6,32.3,21.7
1995-01-01,143.1,31.9,21.2
1995-02-01,44.8,32.3,20.7
1995-03-01,94.9,34.9,20.7
1995-04-01,223.0,33.8,22.9
1995-05-01,136.7,32.9,23.7
1995-06-01,34.8,33.0,24.2
1995-07-01,23.0,34.5,24.8
1995-08-01,46.4,34.4,23.7
1995-09-01,22.5,34.8,24.0
1995-10-01,187.0,33.7,23.3
1995-11-01,133.3,32.5,22.5
1995-12-01,46.0,32.5,20.7
1996-01-01,84.85,32.2,20.8
1996-02-01,88.73,32.8,21.4
1996-03-01,13.73,36.3,21.9
1996-04-01,244.6,33.6,22.7
1996-05-01,15.46,35.1,23.9
1996-06-01,49.78,33.2,23.9
1996-07-01,19.33,33.5,23.9
1996-08-01,52.94,34.3,24.4
1996-09-01,113.3,32.9,23.4
1996-10-01,85.59,33.0,22.8
1996-11-01,267.29,33.0,21.9
1996-12-01,156.54,32.1,21.2
1997-01-01,10.26,33.4,19.8
1997-02-01,12.83,34.5,20.4
1997-03-01,40.45,35.6,21.0
1997-04-01,163.53,34.4,22.6
1997-05-01,180.73,33.5,23.4
1997-06-01,38.58,34.7,23.0
1997-07-01,32.73,34.6,24.2
1997-08-01,11.4,35.6,24.6
1997-09-01,228.18,33.7,23.5
1997-10-01,351.76,32.7,22.8
1997-11-01,434.55,32.1,22.6
1997-12-01,97.94,32.2,22.4
1998-01-01,93.7,32.6,22.4
1998-02-01,41.0,34.8,22.8
1998-03-01,73.5,35.9,22.8
1998-04-01,157.1,35.9,23.8
1998-05-01,207.7,35.3,25.0
1998-06-01,27.8,34.6,25.1
1998-07-01,107.0,34.0,25.0
1998-08-01,43.2,34.1,23.6
1998-09-01,45.6,34.9,24.3
1998-10-01,42.6,35.2,23.6
1998-11-01,131.9,34.0,23.1
1998-12-01,285.2,32.3,22.2
1999-01-01,102.36,31.8,21.6
1999-02-01,113.9,33.4,22.0
1999-03-01,101.84,34.8,21.9
1999-04-01,103.81,33.3,23.8
1999-05-01,59.73,33.8,23.9
1999-06-01,41.35,34.4,22.7
1999-07-01,0.25,34.6,24.8
1999-08-01,21.88,34.6,23.4
1999-09-01,32.03,34.8,23.6
1999-10-01,139.88,32.7,23.2
1999-11-01,211.6,32.2,22.3
1999-12-01,95.78,31.3,21.4
2000-01-01,96.27,31.3,21.3
2000-02-01,69.45,31.7,22.2
2000-03-01,70.42,32.5,22.4
2000-04-01,169.31,34.0,23.7
2000-05-01,124.73,34.8,24.6
2000-06-01,42.13,32.9,24.2
2000-07-01,37.61,34.1,24.2
2000-08-01,30.77,32.3,23.5
2000-09-01,82.57,33.3,23.0
2000-10-01,219.45,33.5,22.7
2000-11-01,231.82,31.7,22.1
2000-12-01,156.98,31.7,21.7
2001-01-01,236.34,31.7,21.5
2001-02-01,97.21,32.7,20.2
2001-03-01,93.77,34.8,21.9
2001-04-01,172.61,33.2,23.0
2001-05-01,13.19,34.4,24.9
2001-06-01,8.99,33.9,24.6
2001-07-01,7.94,33.4,24.8
2001-08-01,6.29,33.9,24.5
2001-09-01,73.13,34.4,24.1
2001-10-01,112.74,33.7,24.1
2001-11-01,172.59,32.4,22.6
2001-12-01,67.51,31.9,21.7
2002-01-01,13.7,32.7,21.4
2002-02-01,11.6,33.5,21.0
2002-03-01,50.8,35.0,21.2
2002-04-01,135.3,33.5,22.9
2002-05-01,87.6,33.3,24.1
2002-06-01,23.8,33.5,24.5
2002-07-01,7.5,33.9,24.0
2002-08-01,7.1,33.9,23.9
2002-09-01,24.9,35.3,23.2
2002-10-01,262.5,32.6,23.6
2002-11-01,301.5,31.3,23.5
2002-12-01,140.4,30.7,22.8
2003-01-01,60.37,32.0,19.7
2003-02-01,57.23,33.5,19.3
2003-03-01,231.41,,23.0
2003-04-01,149.83,,23.6
2003-05-01,111.43,33.7,24.5
2003-06-01,12.03,34.6,25.4
2003-07-01,39.99,,
2003-08-01,1.74,,
2003-09-01,62.64,,
2003-10-01,129.91,32.3,23.4
2003-11-01,305.19,29.9,22.8
2003-12-01,15.73,31.4,21.8
